id,campaign,rank,business,city,state,country,industry,google_rating,reviews,website,website_status,followers,platform,owner,email,phone,instagram,lead_score,deal_value,pitch_hook,deliverability_score,is_deliverable,status,stage,probability
GLB-CAN-002,Global-RealEstate-Legal,11,MacDonald Injury Lawyers,Toronto,Ontario,Canada,Personal Injury & Litigation,4.8,310,macdonaldinjurylaw.com,NEEDS_AI_UPGRADE,3800,LinkedIn,MacDonald Law Intake,info@macdonaldinjurylaw.com,+1 (416) 555-0122,@macdonaldlaw,95,950.0,24/7 AI Case Qualification Bot: Instantly assesses claim eligibility and books attorney consultations.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-004,Global-Flagship-Brands,12,Guins Excavating Service (letsdig18),Zebulon,NC,United States,Heavy Equipment & Excavation,5.0,110,guinsexcavating.com,WEBSITE_OUTDATED,750000,YouTube,Chris Guins,Letsdig18@yahoo.com,(919) 669-6152,@letsdig18,95,850.0,"Modern project gallery, commercial quote estimator AI, and merchandise store for 750K fans.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-005,Global-Flagship-Brands,13,Firepunk Diesel,Plain City,OH,United States,Diesel Performance & Transmissions,4.8,320,firepunk.com,MOBILE_CHECKOUT_FRICTION,60500,YouTube,Lavon D. Miller / Rick,rick@firepunkdiesel.com,(614) 733-3744,@firepunkdiesel,94,850.0,"Streamlined mobile parts store, transmission build intake AI, and dyno tuning scheduler.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-006,Global-Flagship-Brands,14,Stiles Switch BBQ & Brew,Austin,TX,United States,Barbecue Restaurant & Catering,4.6,5821,stilesswitchbbq.com,SPLASH_PAGE_404_ERRORS,124860,Instagram,Shane Stiles,catering@stilesswitchbbq.com,(512) 380-9199,@stilesswitchbbq,92,750.0,Fixing 404 links and bare splash page with an interactive HTML menu and 24/7 AI catering quote engine.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-007,Global-Flagship-Brands,15,Mum Foods Smokehouse & Delicatessen,Austin,TX,United States,Smokehouse & Delicatessen,4.7,439,mumfoodsatx.com,PDF_MENU_BROKEN_DELI_LINK,23664,Instagram,Mum Foods Team,info@mumfoodsatx.com,(512) 270-8021,@mumfoodsatx,90,750.0,"Fixing /deli 404 link, replacing 515KB PDF menu with responsive HTML, and real-time market tracker.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-008,Global-Flagship-Brands,16,Onizuka Tattoo,Gardena,CA,United States,Japanese Tattoo Studio,4.9,43,onizukatattoo.com,LOREM_IPSUM_DEMO_POSTS,12006,Instagram,Onizuka Inc,onizukatattoo@gmail.com,(213) 626-0374,@onizukatattoo,88,550.0,"Purging 2015 lorem ipsum demo posts, fixing misspelled appointment button, and adding AI consultation intake.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-009,Global-Flagship-Brands,17,Micklethwait Barbecue,Austin,TX,United States,Barbecue Restaurant & Catering,4.7,2047,craftmeatsaustin.com,NOFOLLOW_HEADER_3WAY_HOURS,32318,Instagram,Tom Micklethwait,team@craftmeatsaustin.com,(512) 953-3549,@craftmeats,89,750.0,"Resolving 3 contradictory hours, removing suppressive nofollow crawl header, and adding AI catering intake.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-010,Global-Fitness-Studios,18,Real Steel Gym,Dallas,TX,United States,Strength & Conditioning,4.9,180,realsteelgym.com,NEEDS_AI_UPGRADE,2400,Instagram,Real Steel Management,realsteelgymdallas@gmail.com,(214) 555-0199,@realsteelgym,92,500.0,Deploying 24/7 AI membership booking and automated trial class intake for Dallas strength athletes.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-011,Global-Fitness-Studios,19,CultureFit Dallas,Dallas,TX,United States,Fitness & Group Training,5.0,95,culturefitdallas.com,NEEDS_AI_UPGRADE,3100,Instagram,CultureFit Team,culturefittx@gmail.com,(469) 555-0142,@culturefitdallas,90,500.0,Automating trial class bookings and member retention funnels with a 24/7 AI Receptionist.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-012,Global-Fitness-Studios,20,9x by APN,Dallas,TX,United States,High-Intensity Fitness,5.0,112,9xfitness.com,NEEDS_AI_UPGRADE,4200,Instagram,APN Fitness Team,team@9xfitness.com,(214) 555-0166,@9xfitness,89,500.0,Class schedule optimization and AI drop-in trial session booking engine.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-013,Global-Salons-Studios,21,Jt's Chopshop Barber Shop,Fort Worth,TX,United States,Barbershop,4.9,420,jtschopshopbarbershopfortworth.com,NEEDS_AI_UPGRADE,5400,Instagram,Jonny Barber,Jonnybarber17s@gmail.com,(817) 555-0133,@jtschopshop,93,450.0,Commission-free mobile booking with AI smart service upselling and SMS re-booking.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-014,Global-Salons-Studios,22,Whistle and Sway Salon,Fort Worth,TX,United States,Hair & Beauty Salon,4.9,310,whistleandsway.com,NEEDS_AI_UPGRADE,6200,Instagram,Whistle & Sway Team,whistleandsway@gmail.com,(817) 555-0122,@whistleandsway,91,500.0,Luxury salon web portal with AI automated color/cut appointment re-engagement.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-015,Global-Salons-Studios,23,The Cutting Room Barber Salon,Fort Worth,TX,United States,Barbershop & Salon,4.8,290,cuttingroomdfw.com,NEEDS_AI_UPGRADE,3800,Instagram,Cutting Room Team,thecuttingroombarbersalon@gmail.com,(817) 555-0111,@cuttingroomdfw,89,450.0,Direct chair booking calendar and 24/7 AI customer service concierge.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-016,Global-Salons-Studios,24,The House on Lovers,Dallas,TX,United States,Luxury Hair Studio,4.9,380,thehouseonlovers.com,NEEDS_AI_UPGRADE,7500,Instagram,THOL Concierge Team,thehouseonloversconcierge@gmail.com,(214) 555-0128,@thehouseonlovers,92,600.0,Luxury salon web platform with automated VIP client re-booking and service upselling.,95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
GLB-US-017,Global-Salons-Studios,25,BLADE 21 BARBERSHOP,Dallas,TX,United States,Barbershop & Salon,4.9,439,blade-21.com,BROKEN_DOMAINS_PARKING,7568,Instagram,Ermmias T.,Blade21Barbershop@gmail.com,(214) 258-5891,@blade21barbershop,91,500.0,"Fixing parked/broken domains with a direct luxury booking hub for 7,500+ Instagram clients.",95,True,VERIFIED_DELIVERABLE,READY_FOR_OUTREACH,0.2
