Lead ID,Business Name,Category,Decision Maker,Email Address,Phone Number,Website Status,Current Website URL,Facebook Profile,Instagram Profile,Google Rating,Review Count,Street Address,City,State / Region,Postal Code,Country,Lead Score (0-100),Est. Annual Revenue,Est. Employee Count,Buying Intent Score,SWOT Top Strength,SWOT Critical Deficit,AI Recommended Pitch Hook,AI Pitch Preview,Outreach Status
LEAD-0019,Elite Electrical Contractors,Electrician,Aoife Smith,info@eliteelectricalcauckland.co.nz,+64 9 203 6464,SOCIAL,https://facebook.com/eliteelectricalc,https://facebook.com/eliteelectricalc,https://instagram.com/eliteelectricalc,4.3★,36,142 Castle Street,Auckland,Auckland,10118,NZ,85.55,$300k - $800k,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Elite Electrical Contractors vs other electricians in Auckland,"Hi,  I was researching electricians in Auckland and noticed that while Elite Electrical Contractors has a great reputation, other electricians in Auckland is currently capturing a significant share of...",READY (Approved)
LEAD-0020,The Rustic Grill & Tavern,Restaurant,James O'Neill,enquiries@therusticgrilltadublin.ie,+353 1 765 3426,MISSING,None (Missing),https://facebook.com/therusticgrillta,https://instagram.com/therusticgrillta,4.7★,34,11 Broad Street,Dublin,Leinster,D07 X798,IE,81.45,$400k - $1.5M,5-12,90/100,Strong local reputation (4.7★ across 34 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding The Rustic Grill & Tavern vs other restaurants in Dublin,"Hi,  I was researching restaurants in Dublin and noticed that while The Rustic Grill & Tavern has a great reputation, other restaurants in Dublin is currently capturing a significant share of local Go...",READY (Approved)
LEAD-0021,Lewis's Cafe,Cafe,Lily Lewis,hello@lewisscafecork.ie,+353 21 366 3900,BROKEN,http://www.lewisscafecork.ie,https://facebook.com/lewisscafe,https://instagram.com/lewisscafe,4.8★,196,86 Castle Street,Cork,Munster,T12 0022,IE,89.75,$200k - $600k,10-25,60/100,Strong local reputation (4.8★ across 196 Google reviews).,,Quick question regarding Lewis's Cafe vs other cafes in Cork,"Hi,  I was researching cafes in Cork and noticed that while Lewis's Cafe has a great reputation, other cafes in Cork is currently capturing a significant share of local Google Search traffic due to fa...",READY (Approved)
LEAD-0022,Luxe Hair Designers,Salon,Fiona Clark,hello@luxehairdesignergalway.ie,+353 91 404 8541,MISSING,None (Missing),None,None,4.9★,11,103 Bridge Street,Galway,Connacht,H91 0009,IE,71.75,$200k - $500k,2-5,70/100,Strong local reputation (4.9★ across 11 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Luxe Hair Designers vs other salons in Galway,"Hi,  I was researching salons in Galway and noticed that while Luxe Hair Designers has a great reputation, other salons in Galway is currently capturing a significant share of local Google Search traf...",READY (Approved)
LEAD-0023,Prime CrossFit & Athletics,Gym,Thomas Rodriguez,info@primecrossfitathlimerick.ie,+353 61 318 5279,MISSING,None (Missing),None,https://instagram.com/primecrossfitath,4.5★,17,81 Castle Street,Limerick,Munster,V94 0020,IE,79.55,$350k - $900k,2-5,80/100,Strong local reputation (4.5★ across 17 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Prime CrossFit & Athletics vs other gyms in Limerick,"Hi,  I was researching gyms in Limerick and noticed that while Prime CrossFit & Athletics has a great reputation, other gyms in Limerick is currently capturing a significant share of local Google Sear...",READY (Approved)
LEAD-0024,Mercer & Co Legal Associates,Lawyer,Hannah Kelly,enquiries@mercercolegalasswaterford.ie,+353 51 751 4228,MISSING,None (Missing),https://facebook.com/mercercolegalass,None,4.4★,55,32 Oak Lane,Waterford,Munster,X91 0017,IE,80.55,$600k - $2.5M,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Mercer & Co Legal Associates vs other lawyers in Waterford,"Hi,  I was researching lawyers in Waterford and noticed that while Mercer & Co Legal Associates has a great reputation, other lawyers in Waterford is currently capturing a significant share of local G...",READY (Approved)
LEAD-0025,Prime Chartered Accountants,Accountant,Lily Brown,lily@primecharteredacbelfast.co.uk,+44 28 893 3851,SOCIAL,https://facebook.com/primecharteredac,https://facebook.com/primecharteredac,https://instagram.com/primecharteredac,4.6★,156,74 Church Road,Belfast,Ulster,BT14 904AB,GB,97.25,$400k - $1.2M,10-25,90/100,Strong local reputation (4.6★ across 156 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Prime Chartered Accountants vs other accountants in Belfast,"Hi,  I was researching accountants in Belfast and noticed that while Prime Chartered Accountants has a great reputation, other accountants in Belfast is currently capturing a significant share of loca...",READY (Approved)
LEAD-0026,Apex Motors Auto Care Center,Car Repair,Noah Walker,hello@apexmotorsautocalondon.co.uk,+44 20 874 2389,MISSING,None (Missing),https://facebook.com/apexmotorsautoca,None,4.3★,28,61 Oak Lane,London,Greater London,EC8A 925AA,GB,76.15,$350k - $850k,2-5,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Apex Motors Auto Care Center vs other car repairs in London,"Hi,  I was researching car repairs in London and noticed that while Apex Motors Auto Care Center has a great reputation, other car repairs in London is currently capturing a significant share of local...",READY (Approved)
LEAD-0027,Iris & Co Photography,Photographer,Matthew Dunne,matthew@iriscophotographmanchester.co.uk,+44 161 844 4185,SOCIAL,https://facebook.com/iriscophotograph,https://facebook.com/iriscophotograph,https://instagram.com/iriscophotograph,4.8★,53,2 George's Street,Manchester,Greater Manchester,M14 324CD,GB,94.85,$150k - $400k,5-12,90/100,Strong local reputation (4.8★ across 53 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Iris & Co Photography vs other photographers in Manchester,"Hi,  I was researching photographers in Manchester and noticed that while Iris & Co Photography has a great reputation, other photographers in Manchester is currently capturing a significant share of ...",READY (Approved)
LEAD-0028,Byrne's Event Venue,Event Venue,Emily Byrne,info@byrneseventvenueedinburgh.co.uk,+44 131 667 3184,SOCIAL,https://facebook.com/byrneseventvenue,https://facebook.com/byrneseventvenue,https://instagram.com/byrneseventvenue,4.6★,240,114 Wellington Road,Edinburgh,Scotland,EH14 950EF,GB,92.75,$500k - $2.0M,10-25,90/100,Strong local reputation (4.6★ across 240 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Byrne's Event Venue vs other event venues in Edinburgh,"Hi,  I was researching event venues in Edinburgh and noticed that while Byrne's Event Venue has a great reputation, other event venues in Edinburgh is currently capturing a significant share of local ...",READY (Approved)
LEAD-0029,Honey & Rye Bakehouse,Bakery,Matthew Walker,contact@honeyryebakehousbirmingham.co.uk,+44 121 984 9540,MISSING,None (Missing),https://facebook.com/honeyryebakehous,https://instagram.com/honeyryebakehous,4.3★,20,86 Bridge Street,Birmingham,West Midlands,B18 182GH,GB,69.75,$200k - $550k,2-5,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Honey & Rye Bakehouse vs other bakerys in Birmingham,"Hi,  I was researching bakerys in Birmingham and noticed that while Honey & Rye Bakehouse has a great reputation, other bakerys in Birmingham is currently capturing a significant share of local Google...",READY (Approved)
LEAD-0030,BuildCraft Home Builders,Contractor,James Taylor,james@buildcrafthomebunewyork.com,+1 212 538 9890,MISSING,None (Missing),https://facebook.com/buildcrafthomebu,None,4.4★,48,6 Station Road,New York,New York,10016,US,82.65,$600k - $2.5M,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding BuildCraft Home Builders vs other contractors in New York,"Hi,  I was researching contractors in New York and noticed that while BuildCraft Home Builders has a great reputation, other contractors in New York is currently capturing a significant share of local...",READY (Approved)
LEAD-0031,Ark Animal Clinic,Veterinary,Benjamin O'Neill,benjamin@arkanimalclinicaustin.com,+1 512 424 5471,MISSING,None (Missing),https://facebook.com/arkanimalclinic,https://instagram.com/arkanimalclinic,4.2★,71,43 Commercial Road,Austin,Texas,78705,US,82.75,$450k - $1.3M,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Ark Animal Clinic vs other veterinarys in Austin,"Hi,  I was researching veterinarys in Austin and noticed that while Ark Animal Clinic has a great reputation, other veterinarys in Austin is currently capturing a significant share of local Google Sea...",READY (Approved)
LEAD-0032,SmileCraft Dental Studio,Dentist,Joseph Murphy,hello@smilecraftdentalchicago.com,+1 312 672 3977,MISSING,None (Missing),https://facebook.com/smilecraftdental,https://instagram.com/smilecraftdental,4.5★,13,98 Victoria Street,Chicago,Illinois,60614,US,80.75,$400k - $1.2M,2-5,80/100,Strong local reputation (4.5★ across 13 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding SmileCraft Dental Studio vs other dentists in Chicago,"Hi,  I was researching dentists in Chicago and noticed that while SmileCraft Dental Studio has a great reputation, other dentists in Chicago is currently capturing a significant share of local Google ...",READY (Approved)
LEAD-0033,Reliable Plumbing & Heating,Plumber,Aoife Martinez,info@reliableplumbingmiami.com,+1 305 972 1508,BROKEN,http://www.reliableplumbingmiami.com,https://facebook.com/reliableplumbing,https://instagram.com/reliableplumbing,4.3★,179,40 Park Avenue,Miami,Florida,33105,US,86.75,$250k - $750k,10-25,60/100,Direct phone contact established for rapid customer response.,,Quick question regarding Reliable Plumbing & Heating vs other plumbers in Miami,"Hi,  I was researching plumbers in Miami and noticed that while Reliable Plumbing & Heating has a great reputation, other plumbers in Miami is currently capturing a significant share of local Google S...",READY (Approved)
LEAD-0034,Pinnacle Roofing Specialists,Roofing,Emily Jackson,enquiries@pinnacleroofingsseattle.com,+1 206 821 2876,SOCIAL,https://facebook.com/pinnacleroofings,https://facebook.com/pinnacleroofings,https://instagram.com/pinnacleroofings,4.3★,58,80 Station Road,Seattle,Washington,98113,US,88.65,$500k - $1.5M,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Pinnacle Roofing Specialists vs other roofings in Seattle,"Hi,  I was researching roofings in Seattle and noticed that while Pinnacle Roofing Specialists has a great reputation, other roofings in Seattle is currently capturing a significant share of local Goo...",READY (Approved)
LEAD-0035,Johnson's Electrician,Electrician,Alexander Johnson,enquiries@johnsonselectricsydney.com.au,+61 2 242 6688,MISSING,None (Missing),https://facebook.com/johnsonselectric,https://instagram.com/johnsonselectric,4.6★,49,108 Merchant's Quay,Sydney,New South Wales,2004,AU,80.25,$300k - $800k,5-12,90/100,Strong local reputation (4.6★ across 49 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Johnson's Electrician vs other electricians in Sydney,"Hi,  I was researching electricians in Sydney and noticed that while Johnson's Electrician has a great reputation, other electricians in Sydney is currently capturing a significant share of local Goog...",READY (Approved)
LEAD-0036,Bella Bistro & Eatery,Restaurant,James Lee,contact@bellabistroeatermelbourne.com.au,+61 3 830 9817,SOCIAL,https://facebook.com/bellabistroeater,https://facebook.com/bellabistroeater,https://instagram.com/bellabistroeater,4.5★,233,83 Park Avenue,Melbourne,Victoria,3003,AU,93.75,$400k - $1.5M,10-25,90/100,Strong local reputation (4.5★ across 233 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Bella Bistro & Eatery vs other restaurants in Melbourne,"Hi,  I was researching restaurants in Melbourne and noticed that while Bella Bistro & Eatery has a great reputation, other restaurants in Melbourne is currently capturing a significant share of local ...",READY (Approved)
LEAD-0037,Corner Perk Artisan Roasters,Cafe,Joseph Dunne,info@cornerperkartisatoronto.ca,+1 416 706 6325,MISSING,None (Missing),https://facebook.com/cornerperkartisa,None,4.3★,27,71 Trinity Street,Toronto,Ontario,M5V 1K629,CA,76.15,$200k - $600k,2-5,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Corner Perk Artisan Roasters vs other cafes in Toronto,"Hi,  I was researching cafes in Toronto and noticed that while Corner Perk Artisan Roasters has a great reputation, other cafes in Toronto is currently capturing a significant share of local Google Se...",READY (Approved)
LEAD-0038,Glow & Co Hair Designers,Salon,Zoe Lynch,zoe@glowcohairdesignvancouver.ca,+1 604 658 1282,MISSING,None (Missing),https://facebook.com/glowcohairdesign,None,4.9★,57,122 Trinity Street,Vancouver,British Columbia,V6B 17L452,CA,87.15,$200k - $500k,5-12,90/100,Strong local reputation (4.9★ across 57 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Glow & Co Hair Designers vs other salons in Vancouver,"Hi,  I was researching salons in Vancouver and noticed that while Glow & Co Hair Designers has a great reputation, other salons in Vancouver is currently capturing a significant share of local Google ...",READY (Approved)
LEAD-0039,Forge CrossFit & Athletics,Gym,Ryan Hall,contact@forgecrossfitathauckland.co.nz,+64 9 436 2976,SOCIAL,https://facebook.com/forgecrossfitath,https://facebook.com/forgecrossfitath,https://instagram.com/forgecrossfitath,4.4★,131,48 Church Road,Auckland,Auckland,1017,NZ,89.75,$350k - $900k,10-25,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Forge CrossFit & Athletics vs other gyms in Auckland,"Hi,  I was researching gyms in Auckland and noticed that while Forge CrossFit & Athletics has a great reputation, other gyms in Auckland is currently capturing a significant share of local Google Sear...",READY (Approved)
LEAD-0040,Harrington Legal Associates,Lawyer,Mia Brennan,hello@harringtonlegaladublin.ie,+353 1 503 4727,MISSING,None (Missing),https://facebook.com/harringtonlegala,None,4.6★,19,14 Trinity Street,Dublin,Leinster,D10 X814,IE,81.65,$600k - $2.5M,2-5,80/100,Strong local reputation (4.6★ across 19 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Harrington Legal Associates vs other lawyers in Dublin,"Hi,  I was researching lawyers in Dublin and noticed that while Harrington Legal Associates has a great reputation, other lawyers in Dublin is currently capturing a significant share of local Google S...",READY (Approved)
LEAD-0041,Charter Tax & Wealth Advisors,Accountant,Fiona O'Connor,fiona@chartertaxwealthcork.ie,+353 21 690 8216,MISSING,None (Missing),None,https://instagram.com/chartertaxwealth,4.6★,76,17 Station Road,Cork,Munster,T12 0016,IE,87.05,$400k - $1.2M,5-12,90/100,Strong local reputation (4.6★ across 76 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Charter Tax & Wealth Advisors vs other accountants in Cork,"Hi,  I was researching accountants in Cork and noticed that while Charter Tax & Wealth Advisors has a great reputation, other accountants in Cork is currently capturing a significant share of local Go...",READY (Approved)
LEAD-0042,Kennedy's Car Repair,Car Repair,James Kennedy,hello@kennedyscarrepaigalway.ie,+353 91 321 7818,SOCIAL,https://facebook.com/kennedyscarrepai,https://facebook.com/kennedyscarrepai,https://instagram.com/kennedyscarrepai,4.9★,158,116 Commercial Road,Galway,Connacht,H91 0010,IE,91.75,$350k - $850k,10-25,90/100,Strong local reputation (4.9★ across 158 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Kennedy's Car Repair vs other car repairs in Galway,"Hi,  I was researching car repairs in Galway and noticed that while Kennedy's Car Repair has a great reputation, other car repairs in Galway is currently capturing a significant share of local Google ...",READY (Approved)
LEAD-0043,Artisan Wedding & Portrait Studio,Photographer,Ruby Byrne,hello@artisanweddingpolimerick.ie,+353 61 840 4457,MISSING,None (Missing),https://facebook.com/artisanweddingpo,https://instagram.com/artisanweddingpo,4.4★,63,105 Commercial Road,Limerick,Munster,V94 0023,IE,78.85,$150k - $400k,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Artisan Wedding & Portrait Studio vs other photographers in Limerick,"Hi,  I was researching photographers in Limerick and noticed that while Artisan Wedding & Portrait Studio has a great reputation, other photographers in Limerick is currently capturing a significant s...",READY (Approved)
